Date,Stars,Helpful Votes,Z_Score_HelpfulVotes,Words,Z_Score_Words,Paragraphs,No.break tags,Percentage_Upper_Case,Percentage_Lower_Case,Avg_len_paragraph_per_review
10/8/2016,5,0,-0.4264014327112206,40,-0.07667227835767837,1,0,3,91,195.0
01/11/2018,2,0,-0.4264014327112206,1,-1.2914486885871457,1,0,12,58,65.0
07/11/2017,5,0,-0.4264014327112206,10,-1.011115670841884,1,0,2,91,52.0
09/17/2016,5,0,-0.4264014327112206,9,-1.0422637839246909,1,0,4,91,53.0
05/13/2016,1,0,-0.4264014327112206,1,-1.2914486885871457,1,0,0,100,4.0
12/5/2018,1,0,-0.4264014327112206,80,1.169252244954596,1,0,3,93,433.0
07/1/2016,2,3,-0.4264014327112206,93,1.574177715031085,1,0,4,93,532.0
07/19/2017,5,0,-0.4264014327112206,76,1.0446597926233685,1,0,2,92,446.0
08/3/2016,3,1,2.3452078799117153,75,1.0135116795405616,2,2,3,89,202.5
02/15/2018,5,0,2.3452078799117153,53,0.3282531917188108,2,1,4,91,143.0
02/5/2017,5,0,-0.4264014327112206,64,0.6708824356296862,1,0,2,95,308.0
09/1/2016,4,1,-0.4264014327112206,40,-0.07667227835767837,1,0,4,93,203.0
11/22/2016,5,0,-0.4264014327112206,10,-1.011115670841884,1,0,3,92,47.0
